cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Pentium Silver N5000 @ 1.10GHz,161.0,2593,16.1,1143,7.1,6.0,432.15,4,2018,FCBGA1090,Laptop
Intel Xeon L3426 @ 1.87GHz,227.0,2590,11.41,1167,5.14,45.0,57.55,4,2010,LGA1156,Server
Intel Core i7-8500Y @ 1.50GHz,393.0,2587,6.58,1477,3.76,5.0,517.42,2,2018,FCBGA1515,Laptop
Intel Xeon X5460 @ 3.16GHz,219.55,2586,11.78,1378,6.28,120.0,21.55,4,2009,LGA771,Server
AMD A8-5500 APU,58.95,2577,43.72,1334,22.62,65.0,39.65,2,2012,FM2,Desktop
Intel Celeron G4930 @ 3.20GHz,107.41,2571,23.94,1999,18.61,54.0,47.61,2,2019,FCLGA1151-2,Desktop
AMD FX-4100 Quad-Core,25.99,2565,98.68,1279,49.2,95.0,27,2,2011,AM3+,Desktop
Intel Core i3-7020U @ 2.30GHz,281.0,2564,9.13,1324,4.71,15.0,170.95,2,2018,FCBGA1356,Laptop
AMD Phenom II X4 965,74.02,2546,34.4,1357,18.33,125.0,20.37,4,2009,AM3,Desktop
AMD Phenom II X4 975,40.72,2544,62.46,1417,34.79,125.0,20.35,4,2011,AM3,Unknown
Intel Xeon L5530 @ 2.40GHz,148.37,2522,17.0,1169,7.88,60.0,42.03,4,2011,LGA1366,Server
Intel Core i3-7102E @ 2.10GHz,225.0,2521,11.21,1292,5.74,25.0,100.85,2,2019,FCBGA1440,Laptop
Intel Core i5-3230M @ 2.60GHz,99.99,2513,25.13,1556,15.56,35.0,71.8,2,2013,PGA988,Laptop
Intel Core i5-670 @ 3.47GHz,291.0,2511,8.63,1542,5.3,73.0,34.4,2,2010,LGA1156,Desktop
Intel Core i5-5250U @ 1.60GHz,529.99,2504,4.72,1569,2.96,15.0,166.93,2,2015,FCBGA1168,Laptop
Intel Core i5-5200U @ 2.20GHz,281.0,2502,8.9,1512,5.38,15.0,166.78,2,2014,FCBGA1168,Laptop
